Date,US Bonds,Gold,UK Equities,US Equities,Global Equities
2021-01-04,99.41248321533203,182.3300018310547,645.4900512695312,342.4369201660156,102.35868835449219
2021-01-05,99.31143188476562,182.8699951171875,649.6814575195312,344.7954406738281,103.14727020263672
2021-01-06,98.82292175292969,179.89999389648438,671.6368408203125,346.8567810058594,103.77079010009766
2021-01-07,98.72187042236328,179.47999572753906,674.0321655273438,352.0102233886719,104.96282958984375
2021-01-08,98.6039810180664,173.33999633789062,675.8284301757812,354.015869140625,105.73303985595703
2021-01-11,98.4439468383789,173.0,667.7447509765625,351.6295166015625,104.76107788085938
2021-01-12,98.5281753540039,174.1199951171875,663.9525146484375,351.70379638671875,105.05450439453125
2021-01-13,98.83979797363281,173.3699951171875,662.7550659179688,352.65087890625,105.21956634521484
2021-01-14,98.64608001708984,173.27999877929688,668.6429443359375,351.4159851074219,105.13704681396484
2021-01-15,98.74714660644531,171.1300048828125,661.6571044921875,348.8531188964844,104.11923217773438
2021-01-19,98.88190460205078,172.5800018310547,659.7610473632812,351.59234619140625,104.96282958984375
2021-01-20,98.89029693603516,175.38999938964844,662.8546752929688,356.4578857421875,106.20069885253906
2021-01-21,98.74714660644531,175.27999877929688,660.1600341796875,356.7829284667969,106.18235778808594
2021-01-22,98.74714660644531,173.89999389648438,657.6651611328125,355.52008056640625,105.76972961425781
2021-01-25,98.99983215332031,174.0500030517578,652.57568359375,356.9222412109375,106.01728820800781
2021-01-26,98.96614837646484,173.6199951171875,653.8729248046875,356.364990234375,105.87059020996094
2021-01-27,98.97452545166016,172.52000427246094,645.2904663085938,347.6553039550781,103.33065032958984
2021-01-28,98.90715026855469,172.67999267578125,641.79736328125,350.645263671875,104.04586029052734
2021-01-29,98.7977066040039,172.61000061035156,628.72412109375,343.62548828125,102.2303237915039
2021-02-01,98.89215850830078,174.22999572753906,634.8116455078125,349.3453369140625,103.77079010009766
2021-02-02,98.7403335571289,172.11000061035156,640.001220703125,354.2851257324219,105.08202362060547
2021-02-03,98.6222152709961,171.85000610351562,639.10302734375,354.56365966796875,105.21956634521484
2021-02-04,98.58000946044922,168.14999389648438,639.2027587890625,358.5935363769531,106.13651275634766
2021-02-05,98.45349884033203,169.80999755859375,637.5062866210938,360.00494384765625,106.54912567138672
2021-02-08,98.5547103881836,171.52000427246094,640.5,362.60491943359375,107.38356018066406
2021-02-09,98.59691619873047,172.0800018310547,641.498046875,362.3633728027344,107.67697143554688
2021-02-10,98.68970489501953,172.7100067138672,640.5999145507812,362.20556640625,107.56694793701172
2021-02-11,98.57158660888672,171.2100067138672,641.1986694335938,362.79052734375,107.9337158203125
2021-02-12,98.34383392333984,170.69000244140625,646.9868774414062,364.58258056640625,108.45637512207031
2021-02-16,97.87983703613281,168.24000549316406,662.45556640625,364.2668762207031,108.7131118774414
2021-02-17,98.0738754272461,166.3300018310547,658.7630004882812,364.35052490234375,108.52973937988281
2021-02-18,98.02326202392578,166.32000732421875,651.4779052734375,362.7999267578125,107.96124267578125
2021-02-19,97.71956634521484,167.00999450683594,651.6773681640625,362.1591796875,107.96124267578125
