Date,US Bonds,Gold,UK Equities,US Equities,Global Equities
2021-01-04,100.0,100.0,100.0,100.0,100.0
2021-01-05,99.89835146724228,100.29616260665273,100.64933707990642,100.68874597595057,100.77041027080524
2021-01-06,99.40695429453731,98.66724734812324,104.0506882328173,101.2907080339646,101.3795621732813
2021-01-07,99.30530576177958,98.43689679433206,104.42177446448271,102.7956399146491,102.54413306502406
2021-01-08,99.18671964413728,95.06937673291195,104.70005367961619,103.3813377859478,103.29659509682136
2021-01-11,99.02573968014134,94.88290367062038,103.44772156646897,102.6844641725811,102.34703039379241
2021-01-12,99.11046597698132,95.49717181406353,102.86022431214776,102.70615569612367,102.63369537396065
2021-01-13,99.42393025183894,95.08582974612733,102.67471429102295,102.98272707723297,102.79495374228982
2021-01-14,99.22906744359044,95.03647070648117,103.58687062966654,102.62210772630857,102.71433573850668
2021-01-15,99.33073132531499,93.857293459241,102.50461694814031,101.87368778090813,101.71997497383418
2021-01-19,99.46628572577552,94.6525531168292,102.21087777661053,102.6736094989267,102.54413306502406
2021-01-20,99.47472765752588,96.19371339235943,102.69014588052679,104.0944666741467,103.75347765764748
2021-01-21,99.33073132531499,96.13338288764442,102.27268923530329,104.18938714138248,103.73555923299006
2021-01-22,99.33073132531499,95.37651080463351,101.88618086976487,103.82060450550945,103.33243939972382
2021-01-25,99.58491021583487,95.45878423948625,101.09771363792252,104.23006988787871,103.57429341107324
2021-01-26,99.5510273715823,95.22294376877274,101.29868361544365,104.06733890189379,103.43097582816438
2021-01-27,99.55945395436584,94.61964709039843,99.9690800872074,101.52389636798877,100.94956470302894
2021-01-28,99.49168059137727,94.70739370462188,99.42792487955181,102.39703811781742,101.64829382161686
2021-01-29,99.38159012686918,94.66900613004458,97.40260440222022,100.34709111233045,99.87459338816093
2021-02-01,99.47660023147776,95.55750231877855,98.34569010928723,102.01742754393936,101.3795621732813
2021-02-02,99.32387801163037,94.39477808475377,99.14966457567999,103.45996733081881,102.6605804645344
2021-02-03,99.20506165948578,94.25218251396184,99.01051551248243,103.54130608816187,102.79495374228982
2021-02-04,99.16260641726488,92.2228882837892,99.0259660132479,104.71812916758645,103.69077062493413
2021-02-05,99.03534813336994,93.13332740266088,98.76314675451073,105.13029485054459,104.09387555102509
2021-02-08,99.13715783027925,94.0711909998168,99.22693599076904,105.88955164583321,104.9090818834739
2021-02-09,99.17961307250015,94.37832507153838,99.38155446599373,105.81901409084577,105.19573195646687
2021-02-10,99.27295013972548,94.72385508661306,99.24241485842698,105.77293074317173,105.08824376928523
2021-02-11,99.15413378758089,93.90117095074064,99.3351745968048,105.94375371904023,105.44656008732028
2021-02-12,98.92503510884298,93.61597144038096,100.23188989031372,106.46707732030012,105.95717556135578
2021-02-16,98.45829605133247,92.27225569221116,102.62831551057239,106.37488388930265,106.20799623862153
2021-02-17,98.65348118788417,91.22470255069408,102.05625930138584,106.39931136096665,106.02884925998546
2021-02-18,98.6025686649461,91.21922100254753,100.92764466193236,105.94649857904479,105.47345263148166
2021-02-19,98.29707817835084,91.59764867527718,100.95854566346331,105.75938468081154,105.47345263148166
2021-02-22,97.99161838968924,92.96878890173123,100.72663686188794,104.94591690043278,104.78366036445956
2021-02-23,98.01710534909192,92.75489136115544,100.98948448751757,105.07333009356674,104.77470860571849
2021-02-24,97.98313808552183,92.6890793082939,101.4997008711189,106.2311708619208,105.60781845564944
2021-02-25,97.08361955958749,90.94499295725673,101.56152178544247,103.67145522941728,103.35930958312234
2021-02-26,97.87280971202806,88.74567867800792,98.979586144059,103.13730369015236,102.36496372562509
2021-03-01,97.82182811873929,88.59211164214713,100.55659625279023,105.63734535320599,104.70304236067642
2021-03-02,97.83884244845797,89.07475567986721,100.94310461832868,104.81304072293909,104.29990762023493
2021-03-03,97.48184082921873,88.09301459121166,101.91713860508077,103.42470300926666,102.85766077500318
2021-03-04,97.20136915853817,87.2264529638396,101.82436941107211,102.1448585608396,101.62143109180599
2021-03-05,97.13335788656391,87.28130192040808,101.42236326661408,104.02398259045806,103.06369284421302
2021-03-08,96.75088465688881,86.37635271845873,102.75199516174283,103.50605959037597,102.55308482376513
2021-03-09,97.1163819292623,88.21367560064168,102.95297459489477,104.9838636988076,104.14765318576025
2021-03-10,97.27787608364665,88.66341361193099,102.90660418133668,105.63734535320599,104.738864302816
2021-03-11,97.2693574070622,88.5866300940006,102.32776828484975,106.70844676303916,105.71531409641872
2021-03-12,96.71685599745146,88.57017708078521,102.72973660678446,106.85214196665476,105.80488385894293
2021-03-15,96.81890360334647,88.95957621858372,102.46690789241649,107.4893505224547,106.27071817851015
2021-03-16,96.78486726942572,89.04184965343644,103.2709107257017,107.35376513248896,106.41405066859426
2021-03-17,96.77638696525831,89.67805235824152,102.69880723836104,107.71984746777308,106.79028541128672
2021-03-18,96.40238636526719,89.15702074594414,103.00809146696453,106.15256805269917,105.30323505082377
2021-03-19,96.47889329037567,89.52997523930306,101.894794949445,105.9561412365933,105.33906444655099
2021-03-22,96.66588207864612,89.39834276480417,102.2813316818759,106.80215521416905,105.79592464661422
2021-03-23,96.91236346230635,88.74567867800792,101.92573377349925,105.96160422095302,104.81053054785806
2021-03-24,97.03138702550301,89.0528127497295,102.08034279309312,105.42291653317409,104.23720804110921
2021-03-25,96.98039008324743,88.72922566479254,101.55465699746466,106.0160112674721,104.83740073125658
2021-03-26,96.81890360334647,88.98151914872143,102.59058754358692,107.72442817570276,106.15425587182452
2021-03-29,96.65740944896211,87.92299454213548,102.46690789241649,107.67003004106685,106.01093083532804
2021-03-30,96.73385497820331,86.42023020995836,102.99260314367575,107.38438636292949,105.7780285827197
2021-03-31,96.75088465688881,87.7310399316974,102.18858139912889,107.81964273508189,106.14530411308345
2021-04-01,97.07606019342921,88.8389152091537,102.49783726083992,108.98400700188834,107.30090088532222
2021-04-06,97.22077025259718,89.51900377423419,103.70383678295232,110.4829679208746,108.50129371920457
2021-04-07,97.06751081891113,89.2667102903053,104.61610658916581,110.61082670816515,108.56401565909317
2021-04-08,97.3058649246408,90.22650844882314,105.65207495781135,111.13587921475259,109.31648514447812
2021-04-09,97.19524492077745,89.54642825251844,105.2191489005607,111.94386618700536,109.7912712227864
2021-04-12,97.16971191447433,89.00345371008335,104.87898258168791,111.98464696421601,109.71960497774434
2021-04-13,97.4506133562258,89.63417486674189,104.81712384484103,112.31657005145632,110.28396827216447
2021-04-14,97.3739913138662,89.24477572894338,105.55931521943351,111.9329758658184,109.90773352947201
2021-04-15,97.757040129797,90.6872179251813,106.40972628880012,113.13539387359724,111.09020793869692
2021-04-16,97.50169471779888,91.23567401576292,106.90449217163595,113.51356963429107,111.47541680089337
2021-04-19,97.42506500095585,90.98338053183403,106.54889426325933,112.95586398790907,111.0185491472425
2021-04-20,97.57829373670828,91.30696761677099,104.43059656804097,112.1288501451701,109.92565940771706
2021-04-21,97.67193778326998,92.21192518749615,104.98721173209285,113.18980983199943,110.87521665715838
2021-04-22,97.69745544060629,91.61410168849258,105.65207495781135,112.15604030060496,110.11377305226948
2021-04-23,97.6804257619208,91.26309012527138,105.7448536074508,113.37207566580902,111.27834394401224
2021-04-26,97.59533108987718,91.50441214413141,106.0850104706928,113.60875745802079,111.49332031837554
2021-04-27,97.3569693096641,91.27406159034022,105.7757640646126,113.58427651505801,111.41270976818001
2021-04-28,97.40802764778695,91.5428080874845,106.05409055790018,113.55163228714657,111.48437601322208
2021-04-29,97.3569693096641,91.16437204597906,106.06953160303485,114.2752771974409,111.84268487766948
2021-04-30,97.45909366039321,90.85723797425747,106.3014687715027,113.52444213171175,110.73189162066188
2021-05-04,97.64070263579366,91.36181657333947,105.574765720199,113.0673872934192,110.23918711769618
2021-05-05,97.717432120921,91.74025261484492,107.32197718375194,113.10276746945208,110.67812889310198
2021-05-06,97.73448482305672,93.27044142530629,107.89407121546178,114.00596008920083,111.53810892643146
2021-05-07,97.70890576985313,94.1095785743941,108.74448228482838,114.83569205629493,112.63102102671978
2021-05-10,97.55543145063163,94.39477808475377,108.68264245924316,113.6985446805727,111.62769359613094
2021-05-11,97.34231104635211,94.41123109796916,105.97679077591866,112.6838198434307,110.46313761156344
2021-05-12,97.00126467812103,93.47336750081323,106.7189632392495,110.28981176587807,108.25046558835119
