Date,US Bonds,Gold,UK Equities,US Equities,Global Equities
2021-01-05,-0.0010164853275772545,0.0029616260665272787,0.006493370799064202,0.006887459759505665,0.0077041027080524405
2021-01-06,-0.004918971789700577,-0.01624105266038789,0.03379407407532664,0.00597844428569827,0.006044948123552052
2021-01-07,-0.0010225495135536278,-0.00233462025122122,0.0035663986271297077,0.014857551199858099,0.011487235363595527
2021-01-08,-0.001194156915711897,-0.03420993723985433,0.0026649539002818745,0.005697691767714952,0.007337933524877105
2021-01-11,-0.001622999173412465,-0.0019614419353504164,-0.011961141080016668,-0.006740806689980783,-0.009192604094441892
2021-01-12,0.0008555987272969023,0.006473960214956609,-0.005679170555184299,0.00021124445374831602,0.002800911556156249
2021-01-13,0.0031627767236048765,-0.004307374345463466,-0.001803515619039131,0.0026928413319993183,0.0015712029830126095
2021-01-14,-0.001959918580516029,-0.0005190998467168306,0.008883943285765028,-0.0035017459836146347,-0.0007842603245413748
2021-01-15,0.0010245373089123877,-0.012407628760563338,-0.010447788169944738,-0.007292969926095072,-0.009680837222215688
2021-01-19,0.0013646773627042919,0.00847307255811236,-0.0028656189377146424,0.007852093464397747,0.008102224675162084
2021-01-20,8.487229304643407e-05,0.016282289539807593,0.004689012699447881,0.013838582106484365,0.0117934059850755
2021-01-21,-0.001447566991152227,-0.0006271772092728556,-0.004065206467903759,0.0009118685197062604,-0.00017270191864360296
2021-01-22,0.0,-0.007873145210082533,-0.0037791943130504047,-0.0035395412718244312,-0.0038860332584781387
2021-01-25,0.0025589149211782125,0.0008626173693986328,-0.007738706320243538,0.003943970316099721,0.0023405429384459886
2021-01-26,-0.00034024074710858887,-0.0024705999829396363,0.001987878561140244,-0.001561267167526137,-0.00138371769856116
2021-01-27,8.46458645984427e-05,-0.006335623059913753,-0.013125575582835669,-0.02444035333989647,-0.023990986310116202
2021-01-28,-0.0006807325703054312,0.0009273614616172043,-0.005413225841265246,0.008600356970774659,0.006921566434124005
2021-01-29,-0.0011065293485215122,-0.0004053281700162614,-0.020369734959118313,-0.020019592784786377,-0.017449387164024777
2021-02-01,0.0009560131256431958,0.009385291185094458,0.009682345896754319,0.016645588956227142,0.015068584852919953
2021-02-02,-0.0015352577338993978,-0.012167796413785958,0.008174984236719807,0.014140130971819875,0.012635863321875052
2021-02-03,-0.0011962516418325686,-0.0015106298641213156,-0.0014034244472037605,0.0007861858015378864,0.001308908221124172
2021-02-04,-0.0004279543957809162,-0.021530474690833024,0.0001560490891852062,0.011365735317483416,0.008714599793392175
2021-02-05,-0.0012833293566272275,0.009872160109213546,-0.002654043876754608,0.003935953461301267,0.0038875680416057268
2021-02-08,0.0010280137226581498,0.010070118005137685,0.0046959746777925915,0.00722205522554642,0.007831453369695929
2021-02-09,0.0004282475224230975,0.0032649110578624185,0.001558230874316946,-0.0006661427297696143,0.0027323666154219772
2021-02-10,0.0009410912619420841,0.0036611162023989507,-0.0014000546511309109,-0.00043549212842297624,-0.0010217922836083249
2021-02-11,-0.0011968653291491993,-0.008685078696598514,0.0009346783682173676,0.0016149970948924341,0.0034096708174293777
2021-02-12,-0.0023105307866307934,-0.0030372306060941767,0.009027167840079287,0.004939636202127895,0.004842409971578698
2021-02-16,-0.0047181085859304694,-0.014353488272303538,0.023908814079841356,-0.0008659337075640483,0.0023671891586098948
2021-02-17,0.0019824143254514315,-0.011352850687983307,-0.005574058254201875,0.00022963570695333502,-0.0016867560351443434
2021-02-18,-0.0005160742664631623,-6.0088418961767864e-05,-0.01105874982268884,-0.004255786772770165,-0.005238165201076117
2021-02-19,-0.0030982000847595836,0.004148551901348441,0.00030616984706677286,-0.0017661168678797523,0.0
2021-02-22,-0.0031075164625685714,0.014969164015496528,-0.0022970695551461917,-0.007691684126509002,-0.006539961002624883
2021-02-23,0.0002600932592145,-0.0023007456922117253,0.0026095145615756543,0.001214084329310694,-8.543086498358221e-05
2021-02-24,-0.00034654424295743613,-0.0007095264939214196,0.0050521733642912015,0.011019359216301705,0.007951440390696396
2021-02-25,-0.00918034004125512,-0.018816524708764826,0.0006090748425167103,-0.024095711378637086,-0.021291121295828885
2021-02-26,0.00812897331208573,-0.024182906697045592,-0.025422380405425993,-0.005152349198560668,-0.009620283470426871
2021-03-01,-0.0005208963903127195,-0.0017304170540851649,0.015932680365383645,0.024239936217106628,0.02284061411205318
