Ticker,US Bonds,Gold,UK Equities,US Equities,Global Equities
US Bonds,1.0,0.32998212712179037,-0.020725271152498774,0.19873594929198332,0.22836137299766415
Gold,0.32998212712179037,1.0,0.059600387097401335,0.1251738432486032,0.18271958204934746
UK Equities,-0.020725271152498774,0.059600387097401335,1.0,0.33556799332924947,0.42062981233939956
US Equities,0.19873594929198332,0.1251738432486032,0.33556799332924947,1.0,0.9821030859955044
Global Equities,0.22836137299766415,0.18271958204934746,0.42062981233939956,0.9821030859955044,1.0
